,町丁目,世帯数,総数,男,女,年度,月次,公開件数
492,小日向四丁目,955,1793,861,932,2016,8,39
493,大塚一丁目,539,1134,504,630,2016,8,1
494,大塚二丁目,1080,1960,826,1134,2016,8,55
495,大塚三丁目,2140,3560,1638,1922,2016,8,97
496,大塚四丁目,1840,3154,1470,1684,2016,8,57
497,大塚五丁目,2409,4359,2075,2284,2016,8,69
498,大塚六丁目,2289,3956,1984,1972,2016,8,45
499,関口一丁目,2747,4657,2164,2493,2016,8,143
500,関口二丁目,496,1029,484,545,2016,8,9
501,関口三丁目,457,931,454,477,2016,8,10
502,目白台一丁目,1238,2194,1164,1030,2016,8,43
503,目白台二丁目,1185,2185,1022,1163,2016,8,47
504,目白台三丁目,1347,2567,1192,1375,2016,8,46
505,音羽一丁目,2357,4013,1784,2229,2016,8,84
506,音羽二丁目,1013,1778,801,977,2016,8,33
507,本郷一丁目,2189,4271,1964,2307,2016,8,93
508,本郷二丁目,1900,3161,1494,1667,2016,8,109
509,本郷三丁目,1924,3018,1368,1650,2016,8,100
510,本郷四丁目,2267,4184,1983,2201,2016,8,78
511,本郷五丁目,1901,3380,1717,1663,2016,8,103
512,本郷六丁目,1110,1942,982,960,2016,8,51
513,湯島一丁目,462,677,319,358,2016,8,28
514,湯島二丁目,1706,2760,1394,1366,2016,8,115
515,湯島三丁目,1888,2901,1433,1468,2016,8,177
516,湯島四丁目,1202,2133,1074,1059,2016,8,57
517,西片一丁目,1199,2417,1149,1268,2016,8,42
518,西片二丁目,1461,2874,1430,1444,2016,8,46
519,向丘一丁目,1829,3379,1667,1712,2016,8,92
520,向丘二丁目,1877,3239,1503,1736,2016,8,98
521,弥生一丁目,236,419,210,209,2016,8,10
522,弥生二丁目,797,1512,732,780,2016,8,33
523,根津一丁目,1414,2539,1145,1394,2016,8,25
524,根津二丁目,2253,3854,1822,2032,2016,8,77
525,千駄木一丁目,724,1503,693,810,2016,8,19
526,千駄木二丁目,2535,4380,2094,2286,2016,8,128
527,千駄木三丁目,3788,6719,3206,3513,2016,8,153
528,千駄木四丁目,1686,3091,1510,1581,2016,8,98
529,千駄木五丁目,2246,4616,2224,2392,2016,8,77
530,本駒込一丁目,2369,4588,2137,2451,2016,8,78
531,本駒込二丁目,2652,5068,2445,2623,2016,8,59
532,本駒込三丁目,1836,3299,1576,1723,2016,8,60
533,本駒込四丁目,2129,4147,1980,2167,2016,8,109
534,本駒込五丁目,3107,5793,2789,3004,2016,8,123
535,本駒込六丁目,1852,3660,1686,1974,2016,8,58
536,後楽一丁目,440,728,359,369,2016,9,4
537,後楽二丁目,867,1493,755,738,2016,9,36
538,春日一丁目,972,1539,677,862,2016,9,34
539,春日二丁目,2088,4089,1968,2121,2016,9,56
540,小石川一丁目,1785,3427,1573,1854,2016,9,46
541,小石川二丁目,2123,3904,1859,2045,2016,9,72
542,小石川三丁目,2493,5170,2466,2704,2016,9,52
543,小石川四丁目,1788,3623,1661,1962,2016,9,54
544,小石川五丁目,2933,5626,2559,3067,2016,9,111
545,白山一丁目,2652,4689,2293,2396,2016,9,89
546,白山二丁目,2284,4206,2062,2144,2016,9,81
547,白山三丁目,528,1017,491,526,2016,9,22
548,白山四丁目,2232,4286,2034,2252,2016,9,53
549,白山五丁目,2160,3771,1733,2038,2016,9,75
550,千石一丁目,1894,3864,1804,2060,2016,9,66
551,千石二丁目,2070,4301,2065,2236,2016,9,54
552,千石三丁目,2205,4433,2124,2309,2016,9,41
553,千石四丁目,3245,5619,2696,2923,2016,9,183
554,水道一丁目,1404,2592,1280,1312,2016,9,49
555,水道二丁目,2087,3384,1681,1703,2016,9,184
556,小日向一丁目,1165,2292,1047,1245,2016,9,8
557,小日向二丁目,1093,2447,1174,1273,2016,9,21
558,小日向三丁目,657,1298,623,675,2016,9,16
559,小日向四丁目,960,1801,864,937,2016,9,27
560,大塚一丁目,539,1136,509,627,2016,9,4
561,大塚二丁目,1077,1947,820,1127,2016,9,29
562,大塚三丁目,2136,3566,1634,1932,2016,9,96
563,大塚四丁目,1843,3156,1471,1685,2016,9,72
564,大塚五丁目,2416,4359,2083,2276,2016,9,70
565,大塚六丁目,2284,3949,1986,1963,2016,9,56
566,関口一丁目,2748,4662,2170,2492,2016,9,115
567,関口二丁目,499,1034,490,544,2016,9,8
568,関口三丁目,458,943,462,481,2016,9,6
569,目白台一丁目,1206,2155,1138,1017,2016,9,31
570,目白台二丁目,1182,2180,1023,1157,2016,9,41
571,目白台三丁目,1360,2584,1200,1384,2016,9,34
572,音羽一丁目,2372,4028,1785,2243,2016,9,74
573,音羽二丁目,1005,1770,800,970,2016,9,34
574,本郷一丁目,2187,4272,1969,2303,2016,9,92
575,本郷二丁目,1906,3186,1504,1682,2016,9,107
576,本郷三丁目,1919,3008,1362,1646,2016,9,94
577,本郷四丁目,2270,4198,1989,2209,2016,9,86
578,本郷五丁目,1898,3372,1713,1659,2016,9,85
579,本郷六丁目,1117,1946,989,957,2016,9,55
580,湯島一丁目,457,670,318,352,2016,9,31
581,湯島二丁目,1698,2751,1382,1369,2016,9,106
582,湯島三丁目,1892,2905,1440,1465,2016,9,166
583,湯島四丁目,1198,2130,1072,1058,2016,9,62
584,西片一丁目,1210,2426,1155,1271,2016,9,41
585,西片二丁目,1461,2875,1440,1435,2016,9,41
586,向丘一丁目,1818,3359,1664,1695,2016,9,103
587,向丘二丁目,1883,3253,1509,1744,2016,9,91
588,弥生一丁目,238,420,208,212,2016,9,8
589,弥生二丁目,789,1501,726,775,2016,9,29
590,根津一丁目,1416,2543,1146,1397,2016,9,19
591,根津二丁目,2242,3854,1826,2028,2016,9,70
592,千駄木一丁目,724,1506,692,814,2016,9,19
593,千駄木二丁目,2528,4387,2094,2293,2016,9,105
594,千駄木三丁目,3731,6671,3185,3486,2016,9,158
595,千駄木四丁目,1685,3083,1509,1574,2016,9,70
596,千駄木五丁目,2258,4631,2225,2406,2016,9,78
597,本駒込一丁目,2377,4591,2140,2451,2016,9,68
598,本駒込二丁目,2646,5075,2449,2626,2016,9,75
599,本駒込三丁目,1834,3304,1577,1727,2016,9,54
600,本駒込四丁目,2132,4149,1983,2166,2016,9,96
601,本駒込五丁目,3109,5804,2791,3013,2016,9,119
602,本駒込六丁目,1849,3658,1685,1973,2016,9,58
603,後楽二丁目,859,1483,750,733,2016,10,45
604,春日一丁目,976,1544,679,865,2016,10,46
605,春日二丁目,2087,4085,1966,2119,2016,10,49
606,小石川一丁目,1771,3406,1563,1843,2016,10,53
607,小石川二丁目,2128,3914,1863,2051,2016,10,71
608,小石川三丁目,2521,5245,2498,2747,2016,10,61
609,小石川四丁目,1790,3619,1660,1959,2016,10,64
610,小石川五丁目,2946,5654,2570,3084,2016,10,129
611,白山一丁目,2646,4679,2287,2392,2016,10,90
612,白山二丁目,2296,4236,2080,2156,2016,10,101
613,白山三丁目,528,1019,492,527,2016,10,19
614,白山四丁目,2235,4297,2034,2263,2016,10,57
615,白山五丁目,2158,3761,1729,2032,2016,10,84
616,千石一丁目,1896,3867,1803,2064,2016,10,52
617,千石二丁目,2078,4312,2068,2244,2016,10,34
618,千石三丁目,2230,4490,2155,2335,2016,10,49
619,千石四丁目,3245,5615,2695,2920,2016,10,159
620,水道一丁目,1411,2600,1283,1317,2016,10,40
621,水道二丁目,2086,3384,1676,1708,2016,10,146
622,小日向一丁目,1169,2297,1050,1247,2016,10,9
623,小日向二丁目,1091,2447,1172,1275,2016,10,16
624,小日向三丁目,656,1288,618,670,2016,10,16
625,小日向四丁目,959,1800,859,941,2016,10,37
626,大塚一丁目,536,1132,507,625,2016,10,5
627,大塚二丁目,1089,1962,824,1138,2016,10,20
628,大塚三丁目,2133,3565,1636,1929,2016,10,83
629,大塚四丁目,1850,3150,1472,1678,2016,10,65
630,大塚五丁目,2423,4364,2078,2286,2016,10,80
631,大塚六丁目,2280,3943,1991,1952,2016,10,66
632,関口一丁目,2748,4662,2168,2494,2016,10,109
633,関口二丁目,498,1031,487,544,2016,10,11
634,関口三丁目,459,942,461,481,2016,10,7
635,目白台一丁目,1227,2175,1153,1022,2016,10,32
636,目白台二丁目,1181,2178,1025,1153,2016,10,37
637,目白台三丁目,1361,2583,1202,1381,2016,10,35
638,音羽一丁目,2385,4047,1797,2250,2016,10,86
639,音羽二丁目,1012,1768,794,974,2016,10,36
640,本郷一丁目,2201,4286,1976,2310,2016,10,72
641,本郷二丁目,1924,3213,1512,1701,2016,10,124
642,本郷三丁目,1923,3011,1365,1646,2016,10,105
643,本郷四丁目,2280,4209,1987,2222,2016,10,78
644,本郷五丁目,1909,3392,1728,1664,2016,10,79
645,本郷六丁目,1123,1960,996,964,2016,10,47
646,湯島一丁目,450,665,317,348,2016,10,26
647,湯島二丁目,1703,2750,1385,1365,2016,10,107
648,湯島三丁目,1898,2913,1450,1463,2016,10,145
649,湯島四丁目,1203,2140,1079,1061,2016,10,47
650,西片一丁目,1219,2443,1169,1274,2016,10,38
651,西片二丁目,1487,2902,1456,1446,2016,10,37
652,向丘一丁目,1825,3368,1676,1692,2016,10,85
653,向丘二丁目,1898,3265,1526,1739,2016,10,79
654,弥生一丁目,240,423,210,213,2016,10,5
655,弥生二丁目,793,1507,726,781,2016,10,31
656,根津一丁目,1421,2551,1150,1401,2016,10,19
657,根津二丁目,2250,3860,1834,2026,2016,10,65
658,千駄木一丁目,718,1498,687,811,2016,10,19
659,千駄木二丁目,2531,4396,2092,2304,2016,10,104
660,千駄木三丁目,3791,6732,3211,3521,2016,10,156
661,千駄木四丁目,1697,3097,1506,1591,2016,10,54
662,千駄木五丁目,2266,4634,2229,2405,2016,10,78
663,本駒込一丁目,2379,4591,2138,2453,2016,10,68
664,本駒込二丁目,2658,5088,2458,2630,2016,10,72
665,本駒込三丁目,1842,3314,1577,1737,2016,10,54
666,本駒込四丁目,2132,4143,1982,2161,2016,10,71
667,本駒込五丁目,3123,5822,2801,3021,2016,10,131
668,本駒込六丁目,1841,3642,1676,1966,2016,10,63
669,後楽二丁目,860,1483,748,735,2016,11,48
670,春日一丁目,975,1539,674,865,2016,11,42
671,春日二丁目,2100,4110,1981,2129,2016,11,43
672,小石川一丁目,1765,3391,1553,1838,2016,11,46
673,小石川二丁目,2124,3912,1860,2052,2016,11,66
674,小石川三丁目,2553,5291,2526,2765,2016,11,57
675,小石川四丁目,1789,3615,1655,1960,2016,11,66
676,小石川五丁目,2970,5690,2591,3099,2016,11,112
677,白山一丁目,2646,4680,2285,2395,2016,11,97
678,白山二丁目,2295,4240,2082,2158,2016,11,91
679,白山三丁目,527,1017,491,526,2016,11,24
680,白山四丁目,2232,4292,2033,2259,2016,11,54
681,白山五丁目,2151,3755,1725,2030,2016,11,73
682,千石一丁目,1905,3883,1812,2071,2016,11,51
683,千石二丁目,2106,4352,2094,2258,2016,11,29
684,千石三丁目,2234,4496,2159,2337,2016,11,55
685,千石四丁目,3258,5641,2708,2933,2016,11,154
686,水道一丁目,1411,2606,1288,1318,2016,11,70
687,水道二丁目,2101,3415,1685,1730,2016,11,126
688,小日向一丁目,1167,2298,1049,1249,2016,11,11
689,小日向二丁目,1089,2444,1172,1272,2016,11,21
690,小日向三丁目,656,1282,614,668,2016,11,18
691,小日向四丁目,961,1806,857,949,2016,11,45
692,大塚一丁目,533,1123,501,622,2016,11,6
693,大塚二丁目,1096,1972,832,1140,2016,11,14
694,大塚三丁目,2141,3571,1638,1933,2016,11,121
695,大塚四丁目,1852,3152,1473,1679,2016,11,62
696,大塚五丁目,2421,4361,2081,2280,2016,11,88
697,大塚六丁目,2275,3940,1990,1950,2016,11,67
698,関口一丁目,2757,4678,2172,2506,2016,11,105
699,関口二丁目,498,1028,483,545,2016,11,7
700,関口三丁目,459,943,463,480,2016,11,7
701,目白台一丁目,1235,2177,1156,1021,2016,11,31
702,目白台二丁目,1184,2177,1024,1153,2016,11,45
703,目白台三丁目,1361,2585,1199,1386,2016,11,35
704,音羽一丁目,2380,4052,1807,2245,2016,11,79
705,音羽二丁目,1012,1767,791,976,2016,11,40
706,本郷一丁目,2208,4298,1992,2306,2016,11,63
707,本郷二丁目,1927,3217,1513,1704,2016,11,106
708,本郷三丁目,1921,3010,1367,1643,2016,11,94
709,本郷四丁目,2284,4202,1981,2221,2016,11,69
710,本郷五丁目,1918,3403,1731,1672,2016,11,70
711,本郷六丁目,1128,1971,1009,962,2016,11,52
712,湯島一丁目,446,660,318,342,2016,11,29
713,湯島二丁目,1691,2742,1383,1359,2016,11,105
714,湯島三丁目,1900,2922,1456,1466,2016,11,133
715,湯島四丁目,1207,2149,1086,1063,2016,11,45
716,西片一丁目,1228,2451,1171,1280,2016,11,27
717,西片二丁目,1489,2908,1458,1450,2016,11,41
718,向丘一丁目,1828,3361,1681,1680,2016,11,76
719,向丘二丁目,1901,3263,1531,1732,2016,11,68
720,弥生一丁目,243,426,214,212,2016,11,3
721,弥生二丁目,797,1510,728,782,2016,11,27
722,根津一丁目,1432,2563,1152,1411,2016,11,24
723,根津二丁目,2251,3861,1829,2032,2016,11,73
724,千駄木一丁目,722,1506,691,815,2016,11,21
725,千駄木二丁目,2518,4377,2085,2292,2016,11,112
726,千駄木三丁目,3783,6722,3208,3514,2016,11,160
727,千駄木四丁目,1704,3109,1510,1599,2016,11,43
728,千駄木五丁目,2273,4639,2227,2412,2016,11,41
729,本駒込一丁目,2372,4605,2145,2460,2016,11,78
730,本駒込二丁目,2658,5090,2462,2628,2016,11,67
731,本駒込三丁目,1836,3306,1578,1728,2016,11,55
732,本駒込四丁目,2139,4152,1979,2173,2016,11,76
733,本駒込五丁目,3131,5834,2808,3026,2016,11,137
734,本駒込六丁目,1838,3633,1675,1958,2016,11,64
735,後楽一丁目,457,745,368,377,2016,12,2
736,後楽二丁目,854,1483,744,739,2016,12,48
737,春日一丁目,973,1536,673,863,2016,12,39
738,春日二丁目,2101,4102,1971,2131,2016,12,48
739,小石川一丁目,1787,3427,1570,1857,2016,12,38
740,小石川二丁目,2132,3909,1859,2050,2016,12,48
741,小石川三丁目,2565,5311,2540,2771,2016,12,55
742,小石川四丁目,1800,3649,1671,1978,2016,12,51
743,小石川五丁目,2982,5703,2592,3111,2016,12,99
744,白山一丁目,2638,4665,2280,2385,2016,12,100
745,白山二丁目,2301,4254,2082,2172,2016,12,108
746,白山三丁目,532,1024,492,532,2016,12,19
747,白山四丁目,2233,4295,2039,2256,2016,12,64
748,白山五丁目,2151,3766,1730,2036,2016,12,82
749,千石一丁目,1906,3881,1806,2075,2016,12,47
750,千石二丁目,2105,4358,2099,2259,2016,12,46
751,千石三丁目,2227,4496,2160,2336,2016,12,47
752,千石四丁目,3258,5645,2712,2933,2016,12,151
753,水道一丁目,1404,2587,1282,1305,2016,12,80
754,水道二丁目,2111,3428,1696,1732,2016,12,133
755,小日向一丁目,1162,2294,1053,1241,2016,12,12
756,小日向二丁目,1085,2438,1167,1271,2016,12,23
757,小日向三丁目,652,1271,611,660,2016,12,21
758,小日向四丁目,959,1804,857,947,2016,12,53
759,大塚一丁目,533,1121,499,622,2016,12,2
760,大塚二丁目,1101,1979,837,1142,2016,12,18
761,大塚三丁目,2138,3575,1640,1935,2016,12,96
762,大塚四丁目,1843,3151,1472,1679,2016,12,55
763,大塚五丁目,2406,4335,2066,2269,2016,12,73
764,大塚六丁目,2268,3927,1982,1945,2016,12,77
765,関口一丁目,2758,4670,2175,2495,2016,12,123
766,関口二丁目,496,1029,484,545,2016,12,9
767,関口三丁目,456,941,462,479,2016,12,27
768,目白台一丁目,1234,2168,1146,1022,2016,12,31
769,目白台二丁目,1190,2180,1028,1152,2016,12,24
770,目白台三丁目,1361,2583,1197,1386,2016,12,32
771,音羽一丁目,2382,4054,1809,2245,2016,12,72
772,音羽二丁目,1013,1770,794,976,2016,12,30
773,本郷一丁目,2208,4299,1990,2309,2016,12,66
774,本郷二丁目,1926,3228,1528,1700,2016,12,84
775,本郷三丁目,1919,3006,1369,1637,2016,12,90
776,本郷四丁目,2278,4196,1979,2217,2016,12,61
777,本郷五丁目,1917,3389,1724,1665,2016,12,68
778,本郷六丁目,1128,1972,1007,965,2016,12,45
779,湯島一丁目,447,664,316,348,2016,12,34
780,湯島二丁目,1687,2738,1379,1359,2016,12,90
781,湯島三丁目,1889,2912,1452,1460,2016,12,99
782,湯島四丁目,1208,2148,1091,1057,2016,12,49
783,西片一丁目,1224,2444,1168,1276,2016,12,29
784,西片二丁目,1482,2895,1455,1440,2016,12,33
785,向丘一丁目,1825,3369,1687,1682,2016,12,82
786,向丘二丁目,1900,3255,1531,1724,2016,12,64
787,弥生一丁目,245,433,217,216,2016,12,5
788,弥生二丁目,799,1509,733,776,2016,12,28
789,根津一丁目,1437,2569,1150,1419,2016,12,22
790,根津二丁目,2255,3866,1834,2032,2016,12,61
791,千駄木一丁目,720,1500,687,813,2016,12,21
792,千駄木二丁目,2535,4401,2096,2305,2016,12,101
793,千駄木三丁目,3771,6702,3197,3505,2016,12,177
794,千駄木四丁目,1702,3108,1507,1601,2016,12,41
795,千駄木五丁目,2281,4654,2232,2422,2016,12,43
796,本駒込一丁目,2377,4619,2150,2469,2016,12,59
797,本駒込二丁目,2656,5089,2459,2630,2016,12,68
798,本駒込三丁目,1831,3302,1579,1723,2016,12,60
799,本駒込四丁目,2143,4158,1988,2170,2016,12,83
800,本駒込五丁目,3116,5823,2800,3023,2016,12,134
801,本駒込六丁目,1841,3655,1693,1962,2016,12,51
802,後楽一丁目,536,827,443,384,2015,1,6
803,後楽二丁目,817,1457,730,727,2015,1,57
804,春日一丁目,968,1539,704,835,2015,1,46
805,春日二丁目,2041,3998,1914,2084,2015,1,92
806,小石川一丁目,2000,3723,1717,2006,2015,1,71
807,小石川二丁目,2111,3878,1832,2046,2015,1,99
808,小石川三丁目,2449,5025,2385,2640,2015,1,85
809,小石川四丁目,1679,3332,1511,1821,2015,1,84
810,小石川五丁目,2896,5548,2546,3002,2015,1,138
811,白山一丁目,2558,4598,2256,2342,2015,1,105
812,白山二丁目,2174,4041,1979,2062,2015,1,155
813,白山三丁目,528,1029,502,527,2015,1,10
814,白山四丁目,2221,4311,2055,2256,2015,1,84
815,白山五丁目,2044,3660,1672,1988,2015,1,130
816,千石一丁目,1883,3853,1813,2040,2015,1,67
817,千石二丁目,1918,3891,1852,2039,2015,1,67
818,千石三丁目,2150,4349,2093,2256,2015,1,66
819,千石四丁目,3081,5374,2577,2797,2015,1,197
820,水道一丁目,1372,2543,1246,1297,2015,1,75
821,水道二丁目,1889,3013,1524,1489,2015,1,158
822,小日向一丁目,1127,2199,998,1201,2015,1,21
823,小日向二丁目,1064,2383,1142,1241,2015,1,37
824,小日向三丁目,649,1302,628,674,2015,1,23
825,小日向四丁目,967,1821,861,960,2015,1,31
826,大塚一丁目,557,1180,552,628,2015,1,8
827,大塚二丁目,1040,1921,820,1101,2015,1,17
828,大塚三丁目,1990,3361,1553,1808,2015,1,155
829,大塚四丁目,1775,3039,1425,1614,2015,1,73
830,大塚五丁目,2345,4257,2025,2232,2015,1,90
831,大塚六丁目,2167,3763,1891,1872,2015,1,83
832,関口一丁目,2484,4226,1967,2259,2015,1,132
833,関口二丁目,476,995,463,532,2015,1,29
834,関口三丁目,435,888,429,459,2015,1,26
835,目白台一丁目,1287,2229,1227,1002,2015,1,41
836,目白台二丁目,1158,2127,998,1129,2015,1,100
837,目白台三丁目,1331,2555,1203,1352,2015,1,35
838,音羽一丁目,2343,3953,1759,2194,2015,1,88
839,音羽二丁目,976,1759,767,992,2015,1,35
840,本郷一丁目,2117,4137,1911,2226,2015,1,76
841,本郷二丁目,1712,2898,1365,1533,2015,1,108
842,本郷三丁目,1886,2970,1386,1584,2015,1,97
843,本郷四丁目,2213,4011,1901,2110,2015,1,70
844,本郷五丁目,1853,3293,1689,1604,2015,1,42
845,本郷六丁目,1097,1898,963,935,2015,1,86
846,湯島一丁目,466,693,322,371,2015,1,29
847,湯島二丁目,1570,2608,1321,1287,2015,1,90
848,湯島三丁目,1791,2784,1375,1409,2015,1,179
849,湯島四丁目,1118,2003,1011,992,2015,1,43
850,西片一丁目,1191,2389,1120,1269,2015,1,46
851,西片二丁目,1442,2903,1450,1453,2015,1,53
852,向丘一丁目,1783,3261,1639,1622,2015,1,89
853,向丘二丁目,1845,3212,1515,1697,2015,1,76
854,弥生一丁目,236,422,215,207,2015,1,15
855,弥生二丁目,825,1559,755,804,2015,1,26
856,根津一丁目,1401,2507,1111,1396,2015,1,32
857,根津二丁目,2162,3729,1770,1959,2015,1,54
858,千駄木一丁目,709,1465,681,784,2015,1,18
859,千駄木二丁目,2458,4336,2036,2300,2015,1,122
860,千駄木三丁目,3692,6593,3146,3447,2015,1,156
861,千駄木四丁目,1580,2958,1479,1479,2015,1,70
862,千駄木五丁目,2237,4593,2204,2389,2015,1,78
863,本駒込一丁目,2318,4517,2129,2388,2015,1,112
864,本駒込二丁目,2563,4877,2345,2532,2015,1,113
865,本駒込三丁目,1806,3248,1553,1695,2015,1,70
866,本駒込四丁目,2121,4151,2008,2143,2015,1,87
867,本駒込五丁目,2999,5610,2694,2916,2015,1,201
868,本駒込六丁目,1742,3402,1542,1860,2015,1,66
869,後楽一丁目,474,767,382,385,2015,2,8
870,後楽二丁目,820,1460,733,727,2015,2,55
871,春日一丁目,974,1552,709,843,2015,2,62
872,春日二丁目,2042,4007,1923,2084,2015,2,105
873,小石川一丁目,1999,3715,1712,2003,2015,2,74
874,小石川二丁目,2114,3890,1843,2047,2015,2,80
875,小石川三丁目,2444,5019,2378,2641,2015,2,75
876,小石川四丁目,1680,3340,1518,1822,2015,2,80
877,小石川五丁目,2902,5554,2552,3002,2015,2,120
878,白山一丁目,2562,4598,2256,2342,2015,2,105
879,白山二丁目,2177,4059,1985,2074,2015,2,137
880,白山三丁目,527,1027,499,528,2015,2,22
881,白山四丁目,2226,4322,2064,2258,2015,2,89
882,白山五丁目,2056,3670,1683,1987,2015,2,118
883,千石一丁目,1882,3852,1811,2041,2015,2,59
884,千石二丁目,1923,3889,1855,2034,2015,2,61
885,千石三丁目,2140,4325,2086,2239,2015,2,67
886,千石四丁目,3084,5371,2578,2793,2015,2,175
887,水道一丁目,1381,2550,1252,1298,2015,2,71
888,水道二丁目,1884,3010,1521,1489,2015,2,130
889,小日向一丁目,1124,2195,999,1196,2015,2,22
890,小日向二丁目,1069,2387,1139,1248,2015,2,36
891,小日向三丁目,649,1303,627,676,2015,2,31
892,小日向四丁目,968,1829,862,967,2015,2,27
893,大塚一丁目,554,1174,547,627,2015,2,6
894,大塚二丁目,1037,1923,823,1100,2015,2,17
895,大塚三丁目,1985,3357,1552,1805,2015,2,128
896,大塚四丁目,1789,3051,1432,1619,2015,2,62
897,大塚五丁目,2348,4270,2030,2240,2015,2,86
898,大塚六丁目,2155,3753,1881,1872,2015,2,76
899,関口一丁目,2519,4290,2003,2287,2015,2,153
900,関口二丁目,479,1000,466,534,2015,2,21
901,関口三丁目,438,893,430,463,2015,2,18
902,目白台一丁目,1281,2226,1216,1010,2015,2,41
903,目白台二丁目,1165,2132,995,1137,2015,2,82
904,目白台三丁目,1339,2559,1210,1349,2015,2,34
905,音羽一丁目,2336,3945,1755,2190,2015,2,81
906,音羽二丁目,971,1747,764,983,2015,2,32
907,本郷一丁目,2113,4134,1907,2227,2015,2,74
908,本郷二丁目,1732,2924,1375,1549,2015,2,98
909,本郷三丁目,1884,2964,1385,1579,2015,2,97
910,本郷四丁目,2212,4015,1903,2112,2015,2,86
911,本郷五丁目,1855,3287,1684,1603,2015,2,67
912,本郷六丁目,1094,1894,966,928,2015,2,72
913,湯島一丁目,466,694,323,371,2015,2,32
914,湯島二丁目,1577,2610,1317,1293,2015,2,112
915,湯島三丁目,1801,2801,1381,1420,2015,2,135
916,湯島四丁目,1153,2075,1044,1031,2015,2,45
917,西片一丁目,1193,2394,1123,1271,2015,2,43
918,西片二丁目,1444,2910,1448,1462,2015,2,76
919,向丘一丁目,1788,3269,1646,1623,2015,2,88
920,向丘二丁目,1842,3207,1521,1686,2015,2,105
921,弥生一丁目,237,423,216,207,2015,2,17
922,弥生二丁目,835,1569,759,810,2015,2,35
923,根津一丁目,1392,2490,1103,1387,2015,2,22
924,根津二丁目,2160,3735,1773,1962,2015,2,68
925,千駄木一丁目,713,1467,680,787,2015,2,13
926,千駄木二丁目,2463,4340,2043,2297,2015,2,114
927,千駄木三丁目,3680,6595,3149,3446,2015,2,161
928,千駄木四丁目,1593,2978,1490,1488,2015,2,73
929,千駄木五丁目,2231,4590,2202,2388,2015,2,88
930,本駒込一丁目,2316,4528,2132,2396,2015,2,118
931,本駒込二丁目,2577,4897,2352,2545,2015,2,102
932,本駒込三丁目,1800,3238,1549,1689,2015,2,69
933,本駒込四丁目,2121,4151,2007,2144,2015,2,103
934,本駒込五丁目,3008,5618,2687,2931,2015,2,187
935,本駒込六丁目,1741,3409,1546,1863,2015,2,71
936,後楽一丁目,447,738,354,384,2015,3,13
937,後楽二丁目,817,1457,734,723,2015,3,65
938,春日一丁目,982,1563,712,851,2015,3,68
939,春日二丁目,2031,3989,1909,2080,2015,3,78
940,小石川一丁目,2000,3725,1718,2007,2015,3,89
941,小石川二丁目,2111,3888,1843,2045,2015,3,70
942,小石川三丁目,2439,5019,2375,2644,2015,3,79
943,小石川四丁目,1689,3356,1527,1829,2015,3,61
944,小石川五丁目,2903,5556,2554,3002,2015,3,113
945,白山一丁目,2572,4603,2256,2347,2015,3,134
946,白山二丁目,2184,4065,1989,2076,2015,3,164
947,白山三丁目,528,1032,499,533,2015,3,21
948,白山四丁目,2225,4315,2069,2246,2015,3,88
949,白山五丁目,2065,3686,1689,1997,2015,3,129
950,千石一丁目,1880,3856,1818,2038,2015,3,67
951,千石二丁目,1919,3894,1858,2036,2015,3,69
952,千石三丁目,2148,4336,2089,2247,2015,3,57
953,千石四丁目,3086,5384,2587,2797,2015,3,211
954,水道一丁目,1384,2553,1257,1296,2015,3,62
955,水道二丁目,1888,3020,1528,1492,2015,3,134
956,小日向一丁目,1129,2209,1005,1204,2015,3,23
957,小日向二丁目,1070,2388,1143,1245,2015,3,31
958,小日向三丁目,645,1298,621,677,2015,3,30
959,小日向四丁目,971,1835,862,973,2015,3,35
960,大塚一丁目,552,1170,546,624,2015,3,2
961,大塚二丁目,1016,1900,818,1082,2015,3,18
962,大塚三丁目,1991,3367,1563,1804,2015,3,178
963,大塚四丁目,1778,3034,1422,1612,2015,3,96
964,大塚五丁目,2359,4299,2039,2260,2015,3,94
965,大塚六丁目,2155,3747,1877,1870,2015,3,74
966,関口一丁目,2551,4333,2024,2309,2015,3,155
967,関口二丁目,480,1003,469,534,2015,3,18
968,関口三丁目,447,909,435,474,2015,3,26
969,目白台一丁目,1255,2201,1195,1006,2015,3,46
970,目白台二丁目,1152,2117,990,1127,2015,3,61
971,目白台三丁目,1342,2569,1212,1357,2015,3,36
972,音羽一丁目,2345,3959,1766,2193,2015,3,90
973,音羽二丁目,973,1744,763,981,2015,3,33
974,本郷一丁目,2122,4143,1913,2230,2015,3,96
975,本郷二丁目,1741,2935,1377,1558,2015,3,135
976,本郷三丁目,1899,2984,1392,1592,2015,3,99
977,本郷四丁目,2203,3992,1899,2093,2015,3,100
978,本郷五丁目,1853,3287,1683,1604,2015,3,64
979,本郷六丁目,1087,1889,967,922,2015,3,83
980,湯島一丁目,465,690,320,370,2015,3,41
981,湯島二丁目,1574,2614,1316,1298,2015,3,113
982,湯島三丁目,1816,2824,1394,1430,2015,3,157
983,湯島四丁目,1158,2080,1046,1034,2015,3,69
984,西片一丁目,1196,2402,1128,1274,2015,3,37
985,西片二丁目,1438,2894,1441,1453,2015,3,72
986,向丘一丁目,1784,3266,1644,1622,2015,3,127
987,向丘二丁目,1832,3200,1517,1683,2015,3,107
