,町丁目,世帯数,総数,男,女,年度,月次,公開件数
98,関口二丁目,491,1020,480,540,2016,2,15
99,関口三丁目,449,927,453,474,2016,2,13
100,目白台一丁目,1231,2192,1170,1022,2016,2,39
101,目白台二丁目,1165,2136,1006,1130,2016,2,33
102,目白台三丁目,1327,2536,1170,1366,2016,2,40
103,音羽一丁目,2359,4029,1804,2225,2016,2,104
104,音羽二丁目,966,1721,756,965,2016,2,29
105,本郷一丁目,2148,4211,1944,2267,2016,2,75
106,本郷二丁目,1857,3122,1475,1647,2016,2,108
107,本郷三丁目,1919,3008,1376,1632,2016,2,91
108,本郷四丁目,2243,4115,1959,2156,2016,2,76
109,本郷五丁目,1888,3348,1704,1644,2016,2,63
110,本郷六丁目,1110,1926,968,958,2016,2,52
111,湯島一丁目,456,676,314,362,2016,2,31
112,湯島二丁目,1632,2696,1377,1319,2016,2,123
113,湯島三丁目,1851,2840,1412,1428,2016,2,121
114,湯島四丁目,1181,2114,1067,1047,2016,2,39
115,西片一丁目,1184,2388,1138,1250,2016,2,35
116,西片二丁目,1444,2861,1426,1435,2016,2,53
117,向丘一丁目,1824,3372,1683,1689,2016,2,64
118,向丘二丁目,1842,3209,1511,1698,2016,2,91
119,弥生一丁目,233,416,206,210,2016,2,7
120,弥生二丁目,809,1524,734,790,2016,2,32
121,根津一丁目,1374,2492,1110,1382,2016,2,25
122,根津二丁目,2237,3815,1810,2005,2016,2,45
123,千駄木一丁目,711,1485,683,802,2016,2,18
124,千駄木二丁目,2533,4389,2074,2315,2016,2,108
125,千駄木三丁目,3775,6718,3188,3530,2016,2,144
126,千駄木四丁目,1632,3017,1478,1539,2016,2,70
127,千駄木五丁目,2218,4586,2216,2370,2016,2,67
128,本駒込一丁目,2351,4602,2172,2430,2016,2,91
129,本駒込二丁目,2617,5018,2440,2578,2016,2,75
130,本駒込三丁目,1812,3271,1553,1718,2016,2,53
131,本駒込四丁目,2126,4168,2001,2167,2016,2,88
132,本駒込五丁目,3080,5717,2746,2971,2016,2,152
133,本駒込六丁目,1818,3588,1660,1928,2016,2,57
134,後楽一丁目,431,719,356,363,2016,3,7
135,後楽二丁目,858,1502,748,754,2016,3,26
136,春日一丁目,959,1520,680,840,2016,3,32
137,春日二丁目,2042,4036,1932,2104,2016,3,70
138,小石川一丁目,1821,3464,1600,1864,2016,3,58
139,小石川二丁目,2137,3931,1882,2049,2016,3,61
140,小石川三丁目,2489,5140,2448,2692,2016,3,68
141,小石川四丁目,1772,3585,1641,1944,2016,3,77
142,小石川五丁目,2909,5550,2527,3023,2016,3,126
143,白山一丁目,2630,4688,2301,2387,2016,3,139
144,白山二丁目,2233,4138,2028,2110,2016,3,89
145,白山三丁目,518,1005,486,519,2016,3,34
146,白山四丁目,2254,4333,2066,2267,2016,3,58
147,白山五丁目,2125,3737,1714,2023,2016,3,94
148,千石一丁目,1875,3815,1783,2032,2016,3,89
149,千石二丁目,2037,4190,2029,2161,2016,3,55
150,千石三丁目,2125,4306,2074,2232,2016,3,47
151,千石四丁目,3199,5543,2665,2878,2016,3,214
152,水道一丁目,1409,2604,1290,1314,2016,3,57
153,水道二丁目,1956,3115,1579,1536,2016,3,137
154,小日向一丁目,1133,2236,1022,1214,2016,3,20
155,小日向二丁目,1074,2413,1159,1254,2016,3,38
156,小日向三丁目,655,1297,619,678,2016,3,28
157,小日向四丁目,945,1772,842,930,2016,3,34
158,大塚一丁目,530,1136,509,627,2016,3,8
159,大塚二丁目,1061,1934,829,1105,2016,3,25
160,大塚三丁目,2136,3541,1636,1905,2016,3,161
161,大塚四丁目,1807,3084,1440,1644,2016,3,59
162,大塚五丁目,2385,4349,2068,2281,2016,3,70
163,大塚六丁目,2234,3897,1960,1937,2016,3,68
164,関口一丁目,2616,4475,2097,2378,2016,3,170
165,関口二丁目,490,1013,478,535,2016,3,17
166,関口三丁目,453,935,456,479,2016,3,17
167,目白台一丁目,1219,2188,1158,1030,2016,3,45
168,目白台二丁目,1169,2149,1014,1135,2016,3,24
169,目白台三丁目,1328,2539,1175,1364,2016,3,51
170,音羽一丁目,2354,4017,1798,2219,2016,3,85
171,音羽二丁目,973,1730,759,971,2016,3,32
172,本郷一丁目,2150,4213,1942,2271,2016,3,103
173,本郷二丁目,1855,3115,1473,1642,2016,3,179
174,本郷三丁目,1924,3014,1378,1636,2016,3,107
175,本郷四丁目,2242,4119,1965,2154,2016,3,77
176,本郷五丁目,1886,3353,1704,1649,2016,3,66
177,本郷六丁目,1104,1923,967,956,2016,3,62
178,湯島一丁目,455,672,314,358,2016,3,40
179,湯島二丁目,1624,2689,1378,1311,2016,3,117
180,湯島三丁目,1865,2863,1424,1439,2016,3,165
181,湯島四丁目,1183,2111,1066,1045,2016,3,36
182,西片一丁目,1184,2388,1136,1252,2016,3,35
183,西片二丁目,1442,2860,1420,1440,2016,3,58
184,向丘一丁目,1818,3372,1680,1692,2016,3,89
185,向丘二丁目,1824,3181,1505,1676,2016,3,109
186,弥生一丁目,237,421,210,211,2016,3,19
187,弥生二丁目,799,1515,725,790,2016,3,41
188,根津一丁目,1382,2497,1110,1387,2016,3,33
189,根津二丁目,2237,3812,1806,2006,2016,3,47
190,千駄木一丁目,712,1487,682,805,2016,3,20
191,千駄木二丁目,2523,4378,2074,2304,2016,3,96
192,千駄木三丁目,3758,6691,3187,3504,2016,3,165
193,千駄木四丁目,1638,3026,1477,1549,2016,3,68
194,千駄木五丁目,2227,4597,2223,2374,2016,3,70
195,本駒込一丁目,2350,4596,2166,2430,2016,3,112
196,本駒込二丁目,2626,5037,2448,2589,2016,3,86
197,本駒込三丁目,1801,3264,1548,1716,2016,3,75
198,本駒込四丁目,2115,4151,1990,2161,2016,3,76
199,本駒込五丁目,3070,5703,2741,2962,2016,3,164
200,本駒込六丁目,1817,3590,1664,1926,2016,3,69
201,後楽一丁目,441,730,357,373,2016,4,5
202,後楽二丁目,860,1492,741,751,2016,4,25
203,春日一丁目,960,1524,678,846,2016,4,35
204,春日二丁目,2082,4069,1952,2117,2016,4,77
205,小石川一丁目,1819,3457,1600,1857,2016,4,63
206,小石川二丁目,2125,3923,1866,2057,2016,4,77
207,小石川三丁目,2504,5169,2464,2705,2016,4,59
208,小石川四丁目,1778,3593,1641,1952,2016,4,76
209,小石川五丁目,2921,5552,2522,3030,2016,4,114
210,白山一丁目,2628,4687,2303,2384,2016,4,96
211,白山二丁目,2243,4148,2034,2114,2016,4,82
212,白山三丁目,525,1016,488,528,2016,4,24
213,白山四丁目,2264,4333,2054,2279,2016,4,48
214,白山五丁目,2139,3747,1706,2041,2016,4,80
215,千石一丁目,1889,3853,1806,2047,2016,4,79
216,千石二丁目,2045,4231,2041,2190,2016,4,59
217,千石三丁目,2148,4336,2077,2259,2016,4,45
218,千石四丁目,3225,5577,2684,2893,2016,4,193
219,水道一丁目,1404,2598,1283,1315,2016,4,38
220,水道二丁目,1968,3132,1588,1544,2016,4,115
221,小日向一丁目,1126,2223,1019,1204,2016,4,33
222,小日向二丁目,1086,2441,1173,1268,2016,4,19
223,小日向三丁目,662,1305,628,677,2016,4,31
224,小日向四丁目,957,1787,846,941,2016,4,23
225,大塚一丁目,524,1126,504,622,2016,4,9
226,大塚二丁目,1060,1936,828,1108,2016,4,20
227,大塚三丁目,2163,3587,1653,1934,2016,4,149
228,大塚四丁目,1813,3095,1455,1640,2016,4,59
